PM10,76.5,101.5,194,51,54,84.5,94.5,87,84.5,94.5,2,,,,,,,,,,,,,
PM10,68,148.5,155.5,32,55.5,99.5,85,87,74.5,115,2,,,,,,,,,,,,,
PM10,66.5,174,138.5,38,55.5,96.5,72.5,94,78.5,79.5,2,,,,,,,,,,,,,
PM10,66.5,125.5,151,41,50,78,99.5,95,85,99.5,2,,,,,,,,,,,,,
PM10,71.5,89,138,51,52.5,79.5,99,87,76.5,127.5,2,,,,,,,,,,,,,
PM10,90.5,68,64.5,54.5,62.5,82.5,148,91.5,119.5,113.5,2,,,,,,,,,,,,,
PM10,84,98,94.5,82,64,92.5,93,96.5,154.5,106,2,,,,,,,,,,,,,
PM10,75,130,98.5,71,72,62,76,114,88,121.5,2,,,,,,,,,,,,,
PM10,78,180.5,119.5,46,67.5,57,80,82.5,97.5,114,2,,,,,,,,,,,,,
PM10,88,144,114.5,52.5,58,60.5,95.5,76.5,89,97.5,2,,,,,,,,,,,,,
PM10,103.5,114.5,109.5,55.5,57,66.5,73.5,90,97.5,66,2,,,,,,,,,,,,,
PM10,88.5,98,118.5,78.5,62.5,129,76,112,98,69,2,,,,,,,,,,,,,
PM10,87.5,104.5,112,85.5,72.5,91,56.5,148.5,65.5,72,3,,,,,,,,,,,,,
PM10,84.5,135.5,96.5,62.5,63,90.5,73,89,98,79,3,,,,,,,,,,,,,
PM10,69,95.5,121.5,51,57,80,258.5714286,68,98,76.5,3,,,,,,,,,,,,,
PM10,90.5,86,132,60.5,63,56,83,62,137.5,38,3,,,,,,,,,,,,,
PM10,77,95.5,97.5,62,68,34,77,70.5,81.5,60,3,,,,,,,,,,,,,
PM10,75.5,76.5,109.5,58.5,84,34,86.5,66,74,93.5,3,,,,,,,,,,,,,
PM10,71.5,95,81.5,77,88,53.5,96.5,52.5,78.5,58.5,3,,,,,,,,,,,,,
PM10,66,133,88.5,138.5,125,74,87,69,78.5,62.5,3,,,,,,,,,,,,,
PM10,72.5,131.5,111.5,105.5,100,63.5,71.5,98.5,62.5,61,3,,,,,,,,,,,,,
PM10,85,84,121,171.5,93.5,66.5,85.5,113,62,53,3,,,,,,,,,,,,,
PM10,81.5,71,175,92.5,300,50,99,115,85,61,3,,,,,,,,,,,,,
PM10,78,79,172.5,76,72.5,60.5,96.5,98,96.5,68,3,,,,,,,,,,,,,
PM10,108,101,128,69.5,57,74.5,155.5,78.5,123,76.5,3,,,,,,,,,,,,,
PM10,92.5,131,104,78.5,64,125,135,76,93.5,125,3,,,,,,,,,,,,,
PM10,91.5,125.5,148,96.5,66,134,89,75.5,87.5,57,3,,,,,,,,,,,,,
PM10,77,108,123,126.5,82.5,119,102.5,142,73,73.5,3,,,,,,,,,,,,,
PM10,116,101.5,122,124.5,73.5,86.5,95,106.5,96.5,75.5,3,,,,,,,,,,,,,
PM10,112.5,151.5,148,95.5,116.5,83.5,77,84,70.5,76,3,,,,,,,,,,,,,
PM10,88,141.5,75.5,73.5,91.5,87.5,90.5,95.5,93.5,119.5,3,,,,,,,,,,,,,
PM10,85.5,93,91.5,97,93,127.5,120.5,97,409,85,3,,,,,,,,,,,,,
PM10,105,77,99,141,121.5,70,99,93.5,285.7142857,105.5,3,,,,,,,,,,,,,
PM10,176,93,151,101,135.5,81.5,90.5,83,105.5,67,3,,,,,,,,,,,,,
PM10,98.5,102.5,117,123.5,94.5,82,127.5,75.5,218.5714286,55,3,,,,,,,,,,,,,
PM10,104,124,102,100.5,74,129.5,89,62.5,91,78.5,3,,,,,,,,,,,,,
PM10,94,112,115,68,80.5,97.5,62,53,79.5,54,3,,,,,,,,,,,,,
PM10,72,104,118,77,117,91.5,67.5,64,65.5,74.5,3,,,,,,,,,,,,,
PM10,83.5,108,128,85,103.5,96,66,83.5,77.5,69,3,,,,,,,,,,,,,
PM10,73,87.5,102,95,130.5,90,69,78,96.5,70,3,,,,,,,,,,,,,
PM10,82,98,117,113.5,77.5,89,74.5,80,104.5,71,3,,,,,,,,,,,,,
PM10,82.5,138,128,85.5,117.5,90.5,59,80,70.5,89.5,3,,,,,,,,,,,,,
PM10,71.5,143.5,185.5,92.5,97,169.5,95,77.5,77.5,84.5,3,,,,,,,,,,,,,
PM10,107,94,149,115,81.5,358.75,91,79,117,150.5,4,,,,,,,,,,,,,
PM10,96.5,80,123.5,102,74,83.5,73,61,72.5,87,4,,,,,,,,,,,,,
PM10,157,64.5,111,101.5,71.5,71,100.5,74,96.5,66,4,,,,,,,,,,,,,
PM10,112,72.5,72.5,123.5,66.5,63,80,78.5,90.5,72.5,4,,,,,,,,,,,,,
PM10,84,98.5,85.5,106.5,85.5,69,96,99.5,82.5,81,4,,,,,,,,,,,,,
PM10,56,89,91,91.5,82,71,80,88,90,58,4,,,,,,,,,,,,,
PM10,142.5,95.5,113.5,109,70,81,73.5,75,63,71.5,4,,,,,,,,,,,,,
PM10,112,97.5,111.5,202.8571429,89,72.5,100,80.5,73.5,111,4,,,,,,,,,,,,,
PM10,94.5,106,97,89.5,137,76,99,89,68,86.5,4,,,,,,,,,,,,,
PM10,89.5,89,114.5,87,128.5,84,75,76,76.5,93,4,,,,,,,,,,,,,
PM10,82,103,94.5,95,143.5,98.5,66,68.5,110,60.5,4,,,,,,,,,,,,,
PM10,87,151,142.5,89,99.5,84.5,111.5,93,88.5,69.5,4,,,,,,,,,,,,,
PM10,89,155.5,165,107.5,50.5,77.5,62.5,118,53,61.5,4,,,,,,,,,,,,,
PM10,87,102,116.5,95.5,60,70,71.5,112.5,61,79.5,4,,,,,,,,,,,,,
PM10,114,130.5,114.5,150,56.5,72.5,78.5,87,54.5,133.5,4,,,,,,,,,,,,,
PM10,63,124,121.5,100.5,82.5,64,65.5,76.5,56,127,4,,,,,,,,,,,,,
PM10,87,102,113,100,90.5,74.5,82.5,90.5,97.5,85.5,4,,,,,,,,,,,,,
PM10,64,77,121.5,133.5,93.5,60.5,96,65.5,96.5,98,4,,,,,,,,,,,,,
PM10,63,81,119,91.5,110,69.5,94.5,91.5,90.5,66.5,4,,,,,,,,,,,,,
PM10,59,90,129.5,102,68,82.5,94,53.5,106,75,4,,,,,,,,,,,,,
PM10,54.5,81,136,96.5,70.5,99,64,61,73,69,4,,,,,,,,,,,,,
PM10,59,63,157,79,64,84.5,60,65,55.5,59.5,4,,,,,,,,,,,,,
PM10,56,83,169,102,77,75,52,81,61,57,4,,,,,,,,,,,,,
PM10,62.5,133.5,150,88.5,73.5,66.5,66.5,90.5,65.5,57,4,,,,,,,,,,,,,
PM10,72,119.5,154.5,110,78,74,64,185,65,61.5,4,,,,,,,,,,,,,
PM10,71,83,107.5,92,71,75,130,66.5,69,102.5,4,,,,,,,,,,,,,
PM10,92,133.5,107.5,96.5,77.5,85.5,98.5,58.5,64,71.5,4,,,,,,,,,,,,,
PM10,72,94.5,68.5,87,79.5,95.5,95.5,88.5,64.5,63,4,,,,,,,,,,,,,
PM10,63.5,86.5,88,184.5,59,91,86.5,113.5,68,62,4,,,,,,,,,,,,,
PM10,85.5,76.5,102,145,78,84.5,94,83.5,74.5,83.5,4,,,,,,,,,,,,,
PM10,87.5,78,112.5,152.5,87.5,57,75,72,73,134.5,5,,,,,,,,,,,,,
PM10,71.5,73.5,98,110.5,89.5,62,88.5,92.5,93,84.5,5,,,,,,,,,,,,,
PM10,92.5,76.5,140.5,56.5,66.5,76,77,65.5,86.5,64,5,,,,,,,,,,,,,
PM10,106.5,112.5,87,69.5,66.5,81.5,67.5,71.5,81,63,5,,,,,,,,,,,,,
PM10,101,85,104,65,51.5,85.5,60,57,66,73.5,5,,,,,,,,,,,,,
PM10,65,81,91.5,42,48,91,71.5,61,65,73.5,5,,,,,,,,,,,,,
PM10,51.5,82.5,133,54,67.5,74,71,65.5,56.5,89.5,5,,,,,,,,,,,,,
PM10,67.5,100.5,141.5,76.5,71,93.5,70.5,67.5,68,73,5,,,,,,,,,,,,,
PM10,85,109,105.5,63.5,53.5,90.5,86,68,73.5,93.5,5,,,,,,,,,,,,,
PM10,79.5,115,123.5,67.5,62.5,66,98.5,52,93.5,73,5,,,,,,,,,,,,,
PM10,67,98.5,147,59.5,64.5,68,74.5,57,64.5,59.5,5,,,,,,,,,,,,,
PM10,58.5,101.5,135.5,72,45,94,84.5,87,73.5,90.5,5,,,,,,,,,,,,,
PM10,77,93.5,118.5,68,51.5,69.5,62.5,99.5,88,79.5,5,,,,,,,,,,,,,
PM10,71,78,119,77.5,47,88.5,57.5,84,87,70,5,,,,,,,,,,,,,
PM10,51,94.5,112.5,50,54.5,98,64,57.5,77,70.5,5,,,,,,,,,,,,,
PM10,42,97,90,47,56,95,81,71,79.5,80.5,5,,,,,,,,,,,,,
PM10,43,118.5,118,58.5,58,72.5,97.5,81.5,59.5,68,5,,,,,,,,,,,,,
PM10,71,122,79,37,58,79,127,66.5,62,66,5,,,,,,,,,,,,,
PM10,81.5,85,96,52.5,57.5,62,98,68.5,83.5,81.5,5,,,,,,,,,,,,,
PM10,79,96.5,97,76,77,68.5,85.5,68.5,71,66,5,,,,,,,,,,,,,
PM10,89,103,98,60,75.5,88,76,70.5,77,63,5,,,,,,,,,,,,,
PM10,86.5,92,106,54.5,43,98,90.5,76.5,100,66,5,,,,,,,,,,,,,
PM10,77,71,103,58,56,88.5,79.5,59.5,64.5,65.5,5,,,,,,,,,,,,,
PM10,71,102,101.5,61.5,58.5,91.5,99,56.5,89.5,64.5,5,,,,,,,,,,,,,
PM10,63,82,91,53,63,220,80,63,73.5,79,5,,,,,,,,,,,,,
PM10,85.5,78.5,101.5,53.5,70,93,76,64.5,70,80,5,,,,,,,,,,,,,
PM10,78,103,94,55,39,82,89,99,86.5,67.5,5,,,,,,,,,,,,,
PM10,85.5,72,94,66,48,88.5,135,99.5,81,67,5,,,,,,,,,,,,,
PM10,65,68,94.5,52,53.5,89,306.25,84,64,71.5,5,,,,,,,,,,,,,
PM10,64.5,89.5,144,52.5,65,67,150.5,81.5,65.5,70,5,,,,,,,,,,,,,
PM10,70,83.5,100,54,59,56,151.5,69.5,73,81,5,,,,,,,,,,,,,
PM10,70,83,100.5,74.5,66,59.5,78.5,78.5,67,75.5,6,,,,,,,,,,,,,
PM10,86,66,90,72,56.5,36,97,90,71,69.5,6,,,,,,,,,,,,,
PM10,88.5,73,115.5,60,61.5,45,80.5,140.5,77,82.5,6,,,,,,,,,,,,,
PM10,73.5,72.5,86,58,69,57.5,76.5,124,69,86.5,6,,,,,,,,,,,,,
PM10,67.5,77.5,85.5,77.5,71.5,72.5,70.5,92.5,68,92.5,6,,,,,,,,,,,,,
PM10,64.5,97,96.5,58.5,78,73,74,103,71,92,6,,,,,,,,,,,,,
PM10,61.5,64,110,63.5,105,88.5,86,96,62.5,89.5,6,,,,,,,,,,,,,
