2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0.085,0.151,0.233,0.103,0.092,0.137,0.091,0.085,0.086,0.096
0.12,0.168,0.161,0.077,0.057,0.131,0.122,0.086,0.097,0.137
0.109,0.18,0.197,0.085,0.075,0.082,0.147,0.054,0.137,0.096
0.084,0.147,0.244,0.069,0.079,0.086,0.099,0.064,0.079,0.069
0.067,0.153,0.221,0.094,0.045,0.138,0.119,0.124,0.097,0.131
0.104,0.137,0.187,0.086,0.053,0.089,0.075,0.149,0.126,0.109
0.092,0.106,0.188,0.105,0.047,0.127,0.065,0.118,0.124,0.09
0.052,0.139,0.175,0.05,0.059,0.146,0.078,0.065,0.104,0.091
0.042,0.144,0.13,0.047,0.062,0.14,0.112,0.092,0.109,0.111
0.043,0.187,0.186,0.067,0.066,0.095,0.145,0.113,0.069,0.086
0.092,0.194,0.108,0.037,0.066,0.108,0.204,0.083,0.074,0.082
0.113,0.12,0.142,0.055,0.065,0.074,0.146,0.087,0.117,0.113
0.108,0.143,0.144,0.102,0.104,0.087,0.121,0.087,0.092,0.082
0.128,0.156,0.146,0.07,0.101,0.126,0.102,0.091,0.104,0.076
0.123,0.134,0.162,0.059,0.043,0.146,0.131,0.103,0.15,0.082
0.104,0.092,0.156,0.066,0.062,0.127,0.109,0.069,0.079,0.081
0.092,0.154,0.153,0.073,0.067,0.133,0.148,0.063,0.129,0.079
0.076,0.114,0.132,0.056,0.076,0.364,0.11,0.076,0.097,0.108
0.121,0.107,0.153,0.057,0.09,0.136,0.102,0.079,0.09,0.11
0.106,0.156,0.138,0.06,0.039,0.114,0.128,0.148,0.123,0.085
0.121,0.094,0.138,0.082,0.048,0.127,0.22,0.149,0.112,0.084
0.08,0.086,0.139,0.054,0.057,0.128,0.425,0.118,0.078,0.093
0.079,0.129,0.238,0.055,0.08,0.084,0.251,0.113,0.081,0.09
0.09,0.117,0.15,0.058,0.068,0.062,0.253,0.089,0.096,0.112
0.09,0.116,0.151,0.099,0.082,0.069,0.107,0.107,0.084,0.101
0.122,0.082,0.13,0.094,0.063,0.036,0.144,0.13,0.092,0.089
0.127,0.096,0.181,0.07,0.073,0.045,0.111,0.231,0.104,0.115
0.097,0.095,0.122,0.066,0.088,0.065,0.103,0.198,0.088,0.123
0.085,0.105,0.121,0.105,0.093,0.095,0.091,0.135,0.086,0.135
0.079,0.144,0.143,0.067,0.106,0.096,0.098,0.156,0.092,0.134
0.073,0.078,0.17,0.077,0.16,0.127,0.122,0.142,0.075,0.129
0.093,0.113,0.159,0.091,0.123,0.122,0.142,0.128,0.052,0.109
0.132,0.095,0.174,0.105,0.078,0.132,0.13,0.069,0.056,0.12
0.064,0.124,0.181,0.127,0.074,0.111,0.276,0.082,0.065,0.131
0.063,0.1,0.229,0.097,0.059,0.189,0.351,0.071,0.071,0.065
0.086,0.072,0.297,0.069,0.085,0.127,0.206,0.113,0.091,0.104
0.069,0.062,0.277,0.081,0.096,0.101,0.232,0.105,0.139,0.069
0.089,0.069,0.248,0.089,0.078,0.102,0.238,0.143,0.145,0.095
0.154,0.095,0.238,0.111,0.068,0.089,0.202,0.145,0.13,0.196
0.121,0.086,0.201,0.093,0.067,0.085,0.143,0.136,0.111,0.166
0.104,0.1,0.137,0.066,0.079,0.095,0.136,0.083,0.146,0.166
0.089,0.118,0.128,0.047,0.082,0.083,0.09,0.145,0.11,0.131
0.089,0.144,0.152,0.066,0.069,0.079,0.188,0.113,0.073,0.171
0.114,0.152,0.143,0.093,0.112,0.09,0.131,0.198,0.085,0.133
0.122,0.112,0.221,0.084,0.111,0.064,0.107,0.143,0.097,0.111
0.091,0.09,0.208,0.069,0.144,0.056,0.141,0.122,0.133,0.09
0.075,0.096,0.153,0.049,0.137,0.072,0.17,0.058,0.222,0.089
0.042,0.075,0.123,0.086,0.09,0.095,0.125,0.095,0.163,0.131
0.086,0.1,0.187,0.096,0.064,0.058,0.1,0.101,0.158,0.078
0.131,0.095,0.139,0.113,0.063,0.088,0.094,0.088,0.146,0.059
0.097,0.15,0.204,0.039,0.052,0.077,0.089,0.084,0.133,0.074
0.112,0.154,0.224,0.125,0.066,0.053,0.076,0.08,0.095,0.087
0.074,0.097,0.233,0.094,0.083,0.088,0.075,0.135,0.07,0.094
0.071,0.094,0.21,0.084,0.079,0.069,0.065,0.08,0.068,0.109
0.099,0.105,0.217,0.068,0.103,0.071,0.105,0.084,0.06,0.078
0.098,0.12,0.232,0.073,0.119,0.049,0.101,0.073,0.066,0.11
0.123,0.141,0.195,0.091,0.121,0.093,0.07,0.076,0.086,0.069
0.118,0.09,0.207,0.103,0.098,0.082,0.089,0.068,0.081,0.116
0.09,0.088,0.155,0.094,0.096,0.109,0.073,0.094,0.092,0.08
0.083,0.074,0.15,0.091,0.077,0.072,0.054,0.109,0.111,0.121
0.091,0.119,0.158,0.123,0.083,0.099,0.057,0.156,0.094,0.125
0.093,0.104,0.15,0.25,0.106,0.088,0.081,0.157,0.091,0.087
0.117,0.082,0.124,0.227,0.132,0.1,0.076,0.054,0.087,0.105
0.114,0.107,0.189,0.181,0.133,0.099,0.082,0.082,0.089,0.125
0.093,0.121,0.232,0.148,0.104,0.085,0.139,0.158,0.066,0.129
0.088,0.088,0.18,0.123,0.135,0.131,0.19,0.103,0.073,0.116
0.079,0.1,0.116,0.11,0.131,0.12,0.117,0.1,0.069,0.129
0.099,0.105,0.149,0.108,0.13,0.116,0.101,0.062,0.194,0.134
0.085,0.078,0.182,0.106,0.08,0.104,0.098,0.085,0.178,0.121
0.112,0.104,0.192,0.112,0.117,0.087,0.098,0.106,0.121,0.123
0.107,0.079,0.204,0.089,0.14,0.071,0.101,0.137,0.181,0.163
0.077,0.054,0.151,0.098,0.134,0.119,0.108,0.095,0.125,0.147
0.066,0.116,0.119,0.119,0.106,0.054,0.063,0.092,0.115,0.076
0.063,0.174,0.118,0.102,0.113,0.054,0.053,0.117,0.047,0.104
0.083,0.08,0.104,0.124,0.125,0.049,0.047,0.155,0.09,0.12
0.111,0.099,0.106,0.097,0.108,0.072,0.085,0.362,0.117,0.163
0.121,0.15,0.097,0.07,0.104,0.125,0.107,0.108,0.098,0.141
0.123,0.128,0.092,0.08,0.063,0.103,0.125,0.081,0.067,0.136
0.202,0.099,0.101,0.06,0.089,0.263,0.085,0.069,0.138,0.069
0.089,0.065,0.135,0.083,0.117,0.146,0.081,0.074,0.128,0.124
0.075,0.062,0.149,0.26,0.129,0.109,0.148,0.132,0.076,0.078
0.082,0.056,0.145,0.211,0.109,0.063,0.245,0.095,0.069,0.069
0.087,0.096,0.171,0.197,0.076,0.082,0.132,0.131,0.081,0.149
0.12,0.113,0.176,0.187,0.074,0.132,0.079,0.165,0.084,0.116
0.094,0.113,0.124,0.122,0.068,0.076,0.066,0.07,0.089,0.071
0.081,0.096,0.088,0.115,0.066,0.091,0.061,0.106,0.074,0.102
0.082,0.115,0.134,0.093,0.117,0.099,0.078,0.089,0.088,0.071
0.082,0.102,0.207,0.096,0.135,0.079,0.077,0.104,0.191,0.089
0.072,0.123,0.122,0.082,0.089,0.093,0.09,0.087,0.128,0.061
0.075,0.078,0.101,0.11,0.124,0.116,0.07,0.066,0.094,0.153
0.083,0.1,0.053,0.153,0.131,0.133,0.073,0.079,0.096,0.047
0.057,0.153,0.096,0.121,0.075,0.106,0.119,0.089,0.107,0.046
0.058,0.138,0.1,0.062,0.103,0.08,0.112,0.097,0.082,0.047
0.063,0.123,0.075,0.059,0.103,0.11,0.101,0.089,0.05,0.056
0.071,0.12,0.093,0.082,0.084,0.085,0.1,0.071,0.107,0.157
0.098,0.108,0.07,0.12,0.081,0.104,0.096,0.076,0.135,0.054
0.1,0.109,0.079,0.107,0.097,0.084,0.061,0.095,0.104,0.065
