2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0.014,0.017,0.028,0.074,0.015,0.027,0.011,0.031,0.021,0.043
0.012,0.034,0.036,0.032,0.015,0.031,0.018,0.026,0.015,0.022
0.011,0.017,0.034,0.038,0.015,0.029,0.017,0.017,0.014,0.011
0.016,0.025,0.034,0.032,0.012,0.030,0.017,0.022,0.017,0.018
0.031,0.008,0.034,0.033,0.014,0.046,0.022,0.008,0.025,0.027
0.007,0.006,0.035,0.026,0.012,0.034,0.029,0.011,0.020,0.032
0.017,0.015,0.046,0.031,0.012,0.030,0.033,0.011,0.023,0.017
0.016,0.007,0.066,0.025,0.023,0.023,0.028,0.028,0.033,0.020
0.014,0.008,0.074,0.028,0.015,0.026,0.020,0.023,0.034,0.016
0.023,0.011,0.043,0.037,0.011,0.037,0.018,0.026,0.022,0.018
0.030,0.012,0.041,0.038,0.011,0.039,0.082,0.022,0.017,0.019
0.037,0.019,0.026,0.039,0.014,0.028,0.021,0.022,0.013,0.015
0.022,0.017,0.020,0.020,0.021,0.027,0.018,0.008,0.016,0.016
0.013,0.016,0.021,0.014,0.025,0.031,0.025,0.010,0.014,0.016
0.010,0.023,0.028,0.030,0.014,0.031,0.014,0.007,0.012,0.020
0.021,0.024,0.043,0.036,0.011,0.019,0.013,0.008,0.022,0.025
0.059,0.016,0.039,0.034,0.014,0.016,0.011,0.011,0.023,0.018
0.033,0.011,0.036,0.020,0.011,0.017,0.014,0.012,0.018,0.012
0.033,0.007,0.031,0.024,0.011,0.019,0.017,0.010,0.037,0.007
0.012,0.010,0.029,0.023,0.013,0.018,0.020,0.014,0.033,0.014
0.014,0.020,0.019,0.021,0.015,0.022,0.017,0.013,0.029,0.020
0.023,0.023,0.022,0.015,0.015,0.019,0.022,0.012,0.033,0.012
0.011,0.016,0.037,0.008,0.014,0.015,0.015,0.011,0.028,0.012
0.010,0.020,0.039,0.010,0.016,0.013,0.014,0.008,0.018,0.013
0.009,0.016,0.028,0.012,0.011,0.015,0.015,0.013,0.015,0.010
0.006,0.016,0.028,0.017,0.011,0.014,0.015,0.013,0.012,0.010
0.008,0.022,0.025,0.013,0.013,0.013,0.012,0.012,0.009,0.009
0.010,0.022,0.032,0.009,0.015,0.015,0.014,0.012,0.009,0.013
0.009,0.018,0.038,0.008,0.017,0.021,0.018,0.013,0.028,0.012
0.011,0.008,0.033,0.018,0.013,0.014,0.013,0.013,0.020,0.024
0.013,0.013,0.031,0.025,0.020,0.016,0.013,0.010,0.019,0.019
0.016,0.015,0.028,0.015,0.012,0.015,0.015,0.009,0.022,0.015
0.017,0.014,0.028,0.017,0.018,0.016,0.019,0.011,0.020,0.016
0.022,0.006,0.021,0.021,0.025,0.015,0.012,0.011,0.013,0.017
0.039,0.012,0.022,0.015,0.014,0.015,0.012,0.007,0.018,0.022
0.035,0.017,0.022,0.016,0.014,0.016,0.015,0.009,0.017,0.022
0.020,0.023,0.014,0.015,0.013,0.015,0.022,0.008,0.017,0.029
0.013,0.009,0.013,0.023,0.013,0.019,0.019,0.010,0.018,0.029
0.013,0.010,0.015,0.021,0.012,0.026,0.018,0.010,0.015,0.039
0.019,0.013,0.023,0.016,0.012,0.017,0.021,0.005,0.019,0.033
0.026,0.009,0.020,0.015,0.013,0.018,0.009,0.006,0.016,0.018
0.030,0.007,0.015,0.017,0.013,0.014,0.012,0.009,0.018,0.013
0.025,0.007,0.013,0.016,0.011,0.014,0.012,0.010,0.015,0.017
0.007,0.009,0.012,0.012,0.013,0.012,0.009,0.007,0.015,0.030
0.004,0.009,0.015,0.018,0.012,0.014,0.014,0.008,0.017,0.014
0.006,0.011,0.015,0.017,0.014,0.022,0.009,0.008,0.011,0.018
0.006,0.008,0.014,0.021,0.016,0.016,0.011,0.009,0.016,0.014
0.006,0.005,0.014,0.020,0.015,0.020,0.013,0.009,0.014,0.014
0.006,0.007,0.014,0.009,0.019,0.029,0.013,0.008,0.013,0.015
0.008,0.004,0.013,0.014,0.017,0.026,0.016,0.009,0.014,0.011
0.016,0.009,0.014,0.015,0.016,0.013,0.015,0.010,0.023,0.010
0.017,0.008,0.016,0.019,0.014,0.013,0.016,0.010,0.017,0.017
0.016,0.007,0.013,0.017,0.018,0.013,0.019,0.013,0.013,0.012
0.007,0.008,0.013,0.015,0.014,0.012,0.016,0.010,0.015,0.011
0.007,0.009,0.014,0.017,0.014,0.015,0.014,0.008,0.015,0.021
0.007,0.016,0.014,0.030,0.010,0.013,0.016,0.010,0.015,0.015
0.005,0.005,0.016,0.016,0.011,0.016,0.015,0.014,0.014,0.014
0.006,0.006,0.016,0.019,0.012,0.015,0.011,0.014,0.019,0.019
0.057,0.005,0.023,0.013,0.013,0.017,0.014,0.011,0.034,0.025
0.009,0.011,0.017,0.013,0.013,0.021,0.014,0.013,0.045,0.016
0.008,0.011,0.008,0.016,0.012,0.023,0.014,0.017,0.012,0.030
0.008,0.013,0.010,0.024,0.011,0.026,0.013,0.013,0.013,0.040
0.011,0.011,0.010,0.025,0.012,0.026,0.014,0.012,0.040,0.043
0.018,0.009,0.006,0.034,0.012,0.017,0.011,0.012,0.032,0.041
0.021,0.019,0.008,0.020,0.012,0.014,0.013,0.029,0.013,0.045
0.027,0.015,0.009,0.016,0.013,0.014,0.013,0.020,0.011,0.041
0.026,0.017,0.008,0.024,0.015,0.013,0.011,0.018,0.018,0.069
0.024,0.013,0.009,0.023,0.017,0.016,0.012,0.019,0.021,0.043
0.025,0.020,0.011,0.019,0.020,0.026,0.015,0.012,0.011,0.046
0.030,0.015,0.006,0.025,0.016,0.017,0.014,0.014,0.012,0.042
0.017,0.014,0.010,0.024,0.013,0.030,0.013,0.015,0.017,0.036
0.020,0.020,0.015,0.017,0.011,0.019,0.015,0.018,0.033,0.039
0.031,0.012,0.016,0.019,0.015,0.018,0.013,0.013,0.030,0.039
0.023,0.021,0.011,0.017,0.017,0.011,0.012,0.012,0.041,0.036
0.024,0.016,0.020,0.011,0.021,0.010,0.011,0.017,0.017,0.034
0.024,0.015,0.017,0.020,0.033,0.015,0.013,0.017,0.012,0.026
0.045,0.023,0.022,0.032,0.022,0.023,0.016,0.014,0.009,0.035
0.037,0.019,0.020,0.023,0.021,0.019,0.016,0.022,0.013,0.032
0.015,0.009,0.016,0.054,0.033,0.023,0.011,0.030,0.011,0.034
0.015,0.008,0.020,0.047,0.032,0.032,0.015,0.019,0.014,0.040
0.034,0.005,0.017,0.021,0.025,0.024,0.015,0.016,0.033,0.037
0.024,0.013,0.017,0.028,0.032,0.018,0.014,0.014,0.022,0.045
0.010,0.014,0.019,0.028,0.024,0.014,0.012,0.013,0.035,0.048
0.012,0.015,0.013,0.022,0.019,0.013,0.013,0.010,0.014,0.046
0.017,0.011,0.008,0.027,0.027,0.017,0.015,0.019,0.014,0.047
0.012,0.021,0.012,0.031,0.023,0.038,0.015,0.020,0.013,0.046
0.013,0.020,0.021,0.037,0.024,0.022,0.010,0.012,0.018,0.042
0.021,0.015,0.014,0.054,0.022,0.015,0.023,0.012,0.018,0.045
