2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0.046,0.045,0.047,0.022,0.011,0.011,0.007,0.022,0.015,0.010
0.035,0.042,0.040,0.012,0.015,0.013,0.007,0.024,0.021,0.020
0.048,0.030,0.034,0.015,0.015,0.013,0.007,0.023,0.024,0.018
0.043,0.052,0.046,0.015,0.012,0.013,0.007,0.035,0.026,0.011
0.051,0.030,0.060,0.019,0.015,0.019,0.013,0.036,0.020,0.014
0.020,0.031,0.071,0.013,0.019,0.019,0.008,0.028,0.013,0.009
0.027,0.050,0.044,0.009,0.021,0.016,0.009,0.025,0.012,0.010
0.039,0.038,0.051,0.012,0.010,0.018,0.008,0.024,0.018,0.014
0.037,0.026,0.042,0.013,0.014,0.013,0.007,0.024,0.020,0.015
0.053,0.018,0.071,0.016,0.009,0.007,0.008,0.021,0.017,0.016
0.038,0.021,0.056,0.020,0.013,0.009,0.010,0.073,0.017,0.010
0.030,0.023,0.063,0.019,0.015,0.010,0.008,0.076,0.017,0.025
0.037,0.020,0.071,0.025,0.013,0.011,0.011,0.033,0.013,0.029
0.034,0.025,0.079,0.012,0.011,0.012,0.012,0.016,0.018,0.014
0.038,0.020,0.063,0.014,0.010,0.012,0.016,0.017,0.018,0.012
0.041,0.022,0.074,0.014,0.016,0.014,0.008,0.013,0.015,0.012
0.042,0.012,0.046,0.019,0.012,0.019,0.014,0.010,0.014,0.019
0.021,0.015,0.064,0.014,0.011,0.015,0.017,0.011,0.016,0.021
0.031,0.021,0.077,0.014,0.011,0.014,0.014,0.011,0.017,0.010
0.037,0.014,0.079,0.011,0.011,0.013,0.014,0.015,0.020,0.013
0.025,0.014,0.079,0.017,0.012,0.014,0.013,0.016,0.022,0.015
0.030,0.018,0.069,0.018,0.012,0.015,0.017,0.018,0.016,0.013
0.035,0.019,0.059,0.018,0.012,0.015,0.023,0.017,0.013,0.015
0.034,0.020,0.046,0.027,0.010,0.010,0.017,0.019,0.010,0.013
0.028,0.023,0.030,0.012,0.015,0.013,0.015,0.009,0.011,0.016
